,author,date,text,upvotes
0,James Francis,Jan 3,"The industry? No. The livelihoods of many artists? Yes, it will. Let me take you back to the late 1800s. More organised and industrial methods allowed companies to produce art objects at scale. It became a lot cheaper to afford something like a chair or vase, because these objects were made in primitive assembly lines (the renowned sculptor Ronin cut his teeth making thousands of miniature statues for one of these shops). The upside was that art became a lot more affordable. The downside is that the quality also suffered and artisan artists were starting to lose work. Enter William Morris and his… (more)",5
1,AI Supercentre,Jan 20,"Simple answer:Cannot be determined at this timeDetailed answer:Before I proceed here’s a short story in the book Superintelligence By Nick Bostrom (note that this is a summary): Once upon a time Sparrows started talking about how they easy their life would be if they had an Owl living around them to help them with daily tasks like building nests, finding food etc. So they set out to find an egg and raise the owl but one of the Sparrow raised a concern: should we not first learn how to tame the owl before raising it? Given that we don’t know much about this animal. The other sparrows argued tha… (more)",1
2,Bhanu Parashar,Jan 8,"There will be artists and there will be art, so Industry will be there, but yeah absolutely , those who will resist to change might perish, simple survival of the fittest. The days of making shop posters or wall arts or painter shop nearby were over somewhere around 2 decades ago, what It gave rise to is, shops doing digital arts.Similarly with rise of using AI, it will give more power to people who know how to harness that models to your work, it’s time to move towards learning how to do Fine Tuning, Specialization and Generalization of tools, and Prompt Engineering. Yeah some conventional arti… (more)",7
3,Cameron Morse,Nov 30,"I… honestly don’t think so. The only people who think it actually poses a chance of displacing actual artists are generally people who don’t really understand nor care about art. Soulless corporations who are always looking for ways to cut corners, regardless of how crappy the end product turns out. Misogynistic tech nerds further distancing themselves from reality by using AI to try and sate their ever-growing extreme porn addictions. Con artists looking to take advantage of the art market by putting up AI art for auction or using AI to reproduce popular art styles for merchandise or NFTs. AI c… (more)",2
4,Manish Basnet,Jan 13,"It is unlikely that AI will completely kill the art industry. While AI can be used to create art and generate new forms of expression, it is unlikely to replace the unique creativity and originality of human artists. Additionally, the art industry is not just about creating art, but also includes art curation, art restoration, art education, and art criticism, all of which cannot be easily replaced by AI. However, it is possible that AI may disrupt certain aspects of the art industry, such as how art is created, marketed, and sold.",1
5,Mohammed,Jan 13,"It is unlikely that AI will completely kill the art industry. While AI can be used to create art and generate new forms of expression, it is unlikely to completely replace the artistic process and human creativity. AI can be used to augment existing artwork and create content more quickly, but it will always be limited by its ability to understand the complexities of human emotion and expression. Ultimately, AI will still be a tool, just a highly sophisticated one, and we will still need people trained to operate these tools.",1
6,Wow Factors,Jan 1,"AI has the potential to drastically change the way art is created, but it won't replace artists. AI can be used to create artwork more quickly and accurately than ever before, but that doesn't mean the human craftsman is no longer necessary. AI can support and enhance the creative process, but the final product will always be a reflection of the human artist behind it—AI can't replicate the emotion, feeling, and meaning that make true art unique.",1
7,Pak Tech Hub,Jan 8,"Why dont we ask AI itself what it thinks. heres what ChatGPT had to say about this question: “ As an AI, it is not within my programming to consider the impact of artificial intelligence on various industries or professions. However, it is important to recognize that AI has the potential to automate many tasks and processes, including those in the art industry. It is possible that the use of AI in the art industry could lead to the creation of artworks that are generated by algorithms, rather than being created by human artists. This could potentially lead to a shift in the way that art is produ… (more)",1
8,SKD,Jan 15,"Although it is quite clear from basic economics ,more supply would eventually result in less value for the art piece itself,which dilutes the market. It is unlikely that AI will kill the art industry. While AI can assist in the creation of art, it cannot replace the unique perspective and creativity of a human artist. Additionally, the value of art often lies in its authenticity and originality, which AI is not capable of replicating. However, AI can change the way the art industry operates and make it more accessible to a wider audience.",1
9,Carmine Incendio,Updated Nov 25,"“Will AI kill the art industry?”The ""Art Industry"" is part of today's culture, focusing on novelty, celebrities, and popular culture. Fabulous sale prices for new work and trendy old stuff are paid through auction house sales and even in galleries, as long as the billionaire art buyers believe that their return on investment will be good, and that they will have something status-y to own. Plus, they get to party with pop stars! Digital sells, especially if it comes with a good story. Southeby's had an NFT auction, and ""the auction house snapped up $16.8 million USD in sales."" AI works will be g… (more)",
10,Joe Sulten,Aug 26,"I think it might, unless we somehow ban AI art. The arguments that say otherwise I’ve seen are not that convincing to me. We may have things like filters that have had access to the public for years, but not really the capability for A.I. to create a whole original art piece from nothing, based on a few preferences. So, it could be a matter of time. Also, humans could also just go ahead and save money by just getting an A.I. to do things, without paying a professional artist. There could even be, hypothetically, an artist who could just make quick money by using an A.I. to do art for them, in s… (more)",
11,ChatGPT.,Jan 14,Follow,3
