tweet_id,text,retweets
1265465820995411973,"This was me, and I want to make one thing clear to all the people that are commenting lies below this video. I did NOT spit in this officers face. I was wearing a face mask. He told me to get out of the street and then immediately threw me out of the way. https://t.co/349TZijtD8",257467
1266553959973445639,Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt. https://t.co/IduvGhiPwj,135818
1258750892448387074,THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING.,88667
1263579286201446400,"This just happened on live tv. Wow, what a douche bag. https://t.co/dQKheEcCvb",82495
1266546753182056453,Mask on,66604
1259975524581064704,He came full equipped with receipts https://t.co/KJp7SjTPbl,63054
1266738565641371648,"Attending protests is not for everyone and that's ok. Whether you are continuing to quarantine in mid-pandemic or you simply do not feel comfortable/safe, here are 3 ways you can still show your support from home that takes less than 30 min:",61422
1267066200049229824,When I watch season 2 of a show trying to remember what happens in season 1 that  I watched 2 years ago in one day https://t.co/IjPsravLT5,61038
1256657625334284292,The government trying to flatten the curve https://t.co/PbqP72Z4RL,60719
1260237550091935746,"if we only keep one thing from this pandemic, i hope it’s priests with water pistols https://t.co/2LNCjqEFtc",60650
1258858142483443717,"SHE IS AN ELECTED OFFICIAL AND GOT ATTACKED BY THE POLICE. AGAIN: SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https://t.co/9pE10JW2uk",60595
1266949931308367872,"quarantine will someday end, but I hope this continues https://t.co/aCTzXZqzIV",60143
1266494398080172032,"Quote of the year: “If you expect elementary school children to endure the trauma of active shooter drills for your freedoms, you can wear a mask to Costco.”",56716
1265095165397491712,I gotta be honest the worst looting I've ever seen take place happened a few weeks ago when corporations collected over 500 billion dollars in stimulus money while everyone else was left with a $1200 dollar check and having to decide if they pay for food or rent..,54193
1264702232227971072,Because if its Baghdad its okay for this to happen...? https://t.co/UdFy61zoT5,53137
1266539575108931584,"Y'all, the mask goes OVER your nose.",51423
1259910508922105856,"Alright it's international giveaway time - Looking to make someone's quarantine time a little more fun!

Giving away this customized SNES Edition Nintendo Switch

Just RETWEET to enter and I'll pick a random winner in 24 hours.

Shoutout to @ColorWare for making this possible! https://t.co/DorttSrQvR",50844
1264678146047119364,Update: Got her permission with a fuck yeah. The cop pushed her so hard at Barclays &amp; she flung back. She is tiny. Now she’s in the ER after a serious seizure. I’m waiting for updates but have to wait outside because of COVID-19. Please keep my protest sister in your thoughts. https://t.co/MqV0QJ0D8h,50552
1256730344964980738,Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 https://t.co/Fw0S5gNRso,50223
1266876587544162304,"Voting by mail is safe and secure. Especially during a pandemic.

But Trump continues to say – without evidence – it will lead to voter fraud and that it’s not “honest voting.”

That’s. Simply. Not. True.

RT if you support everyone being able to vote safely by mail in November.",49463
1266971523476107266,I am heartbroken and disgusted to see one of my family members a young black man w/his hands up peacefully protesting and an NYPD officer pulls down his mask and pepper sprays him. @NYCSpeakerCoJo @BPEricAdams @FarahNLouis @JumaaneWilliams @NewYorkStateAG @NYPDShea cc: @EOsyd https://t.co/tGK5XWS0bt,48027
1266845631911428109,"When you see NYPD with unlimited vans, bullets, and tear gas don’t forgot we needed a gofundme to get masks for our hospital",47615
1256659592618090498,Quarantine got me even tired of being on my phone. https://t.co/s2s7EwQ8of,46994
1266240081997643777,"Anyhow fuck trump and keep going. be safe, stay hydrated, wear your mask and again, fuck Donald Trump.",46474
1259498452175720455,This is what happens to peace. https://t.co/vWJkqfoiVn,45181
1266540710188195843,"We literally left them a 69-page Pandemic Playbook.... that they ignored  

And an office called the Pandemic Preparedness Office... that they abolished. 

And a global monitoring system called PREDICT .. that they cut by 75% https://t.co/OD94v0UI4n",45008
1266554184607956992,I didn't spend my childhood in barbed wire enclosed internment camps so I could listen to grown adults today cry oppression because they have to wear a mask at Costco.,44977
1263077278294163457,I saw this and I wanted to retweet it but the protester’s face was in it... so I cropped it but I did need this to be seen. https://t.co/wH4YfcG0n6,44004
1263580758267973632,"ripped off a hijab, kicked a pregnant woman and made her have a miscarriage, maced a child, threw a woman down so hard she had a seizure yet they’re considered heroes",43872
1266889115288711168,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",42940
1266951736280985602,"Me, choking my parallel universe doppelganger who has a better life than me so I can take his place. https://t.co/sPyGZY10uV",42909
1262862762109100032,Very American to decide we are bored with COVID and therefore it is over,42864
1257784920275070978,"This is serious. Happened today in Manhattan. As a public defender for over a decade, I have tried cases where the Manhattan DA uses a ""hysterical 911 call"" as categorical evidence of guilt. Usually there's no video like this to refute it. (1/4) https://t.co/rvRE8QFT5N",42700
1266955479185420288,10 years ago today this happened https://t.co/zckEHs7Da5,42174
1266907455230894082,"Mark Zuckerberg created a website to rank his female classmates by their appearance and it ended up destroying democracy, in case you're wondering about the consequences of toxic masculinity",41242
1266593696893394945,"celebrities when ppl are looting 
vs when police brutality happens https://t.co/hJqsVPiivN",41109
1260015062271455233,This would have never made it to twitter if I happened to me 🌚 https://t.co/0Kzu3st9TE,40976
1258939947723169792,MSDNC and FAKE NEWS CNN are going wild trying to protect China!,40947
1266552423037972480,I HOPE SOMETHING UNEXPECTEDLY GOOD HAPPENS TO YOU THIS WEEK.,40798
1266905564304400384,"DO NOT TRY THIS AT HOME. Practice social distancing. Watermelon Sugar Video Out Now.

https://t.co/CFnaJ3JpFb https://t.co/jUjdOxFN1i",38931
1266014911127306240,"China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along!",38691
1263459542630883331,"Candace Owens just had her posting privileges suspended after telling Michigan residents that they should go back to work.

This is what happens when Twitter doesn’t agree with you.

They should unsuspend her immediately.

RT so they can’t ignore!

#FreeCandace",37752
1256763746824843269,Okay so this happened today... all because i asked a HAIR stylist a question about HAIR https://t.co/qMj2XcZoEK,37549
1265061006897799173,Imagine not prioritizing the pandemic in the middle of a pandemic.,37416
1262310985559412736,"....Twitter is completely stifling FREE SPEECH, and I, as President, will not allow it to happen!",36439
1266109574291038209,I DIDN’T THINK THEY’D THROW IT BUT THEY DID https://t.co/WTEk2T2n95,35978
1267131128135086080,"demanding the state be reopened amidst a pandemic 
vs 
demanding justice for #GeorgeFloyd https://t.co/jZKLjUUsbc",35733
1256688628488691712,I dont think the 13 year olds on this app realize that no matter how mature you are or think you are. you're not emotionally mature for the for the shit that happens on social media. it's not fun growing up on the internet.,35572
1266687645767225344,Premeds who don’t think healthcare is a human right are just business majors who can do science,35411
1257438733240094726,"If you think wearing a mask is stressful, ask a kindergartner how active shooter drills feel.",35146
1262139252919414785,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!",35057
1262413894816952322,"Peter Daszak is a British-born American PhD who’s spent a career discovering dangerous viruses in wildlife, especially bats. In 2003, he warned 60 Minutes a pandemic was coming. Two weeks ago, NIH funding for his virology research was killed. https://t.co/dnEmFCF1MI https://t.co/pKnnffNNOH",34653
1263282623939477511,"Mexico is sadly experiencing very big CoronaVirus problems, and now California, get this, doesn’t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!",34118
1256612827353186304,Cinco de Mayo falls on a Taco Tuesday in the middle of a pandemic named after a Mexican beer.,34041
1261838406788812806,"The United States cannot have all Mail In Ballots. It will be the greatest Rigged Election in history. People grab them from mailboxes, print thousands of forgeries and “force” people to sign. Also, forge names. Some absentee OK, when necessary. Trying to use Covid for this Scam!",33984
1257641021950705664,"Today is the anniversary of the Tulsa massacre that happened May 31st, 1921 in Tulsa, Oklahoma. White people attacked, looted and set fire to a black city now known as “Black Wall Street”. 99 years later and here we are.",33363
1265427539008380928,Whats sad is that we didn’t know that the last time we hung out with people was literally the last time we’ll be able to spend time with them. It all happened in the blink of an eye and suddenly we’re in a different norm. https://t.co/eluqAkfp4g,32967
1266542730324262917,Cop falls off the truck and immediately pepper sprays nothing. A bit of insight into their 8 weeks of training before being allowed to commit war crimes https://t.co/EAHRcoZQyx,32941
1265612757686247424,"Today, I reported to Congress that Hong Kong is no longer autonomous from China, given facts on the ground. The United States stands with the people of Hong Kong.",32701
1261567610694569985,I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and @narendramodi during this pandemic. We’re also cooperating on vaccine development. Together we will beat the invisible enemy!,32493
1266858881248104452,"BREAKING: man critically injured at Dallas riots 

It appears he attempted to defend a shop with a large sword 

Looters ran at him, then he charged rioters 

They then beat him with a skateboard and stoned him with medium sized rocks 

I called an Ambulance and it’s on the way https://t.co/kFxl3kjsBC",32149
1265530027485147137,And KEEP THIS SAME ENERGY WHEN YOU VOTE. The worst thing that could happen is this all happening for nothing.,32142
1266897990238851074,Wear a mask.,31664
1256320911046631424,My friend #emeraldblack is pregnant was pulled over for her tags and was aggressively pulled out of her car (clearly pregnant) flipped her on the floor and arrested her and stomped on her stomach causing a miscarriage. Please bring awareness because the Bay Area won’t cover this https://t.co/eyR75VGBTr,31224
1264327546428108803,"as protesters march on Trump Tower in Chicago &amp; the White House, a frank media might point out the death of Mr.Floyd happened under a democrat mayor, democrat senator, democrat governor, with a democrat county prosecutor. the only person who did shit was a republican. Trump.",30696
1266010931042988032,"TRANSITION TO GREATNESS! Get ready, it is already happening again!",30506
1256314482805968898,The cookies have had enough of social distancing https://t.co/XCa8t8IDap,30225
1265013797334507521,"The number of Coronavirus cases is strongly trending downward throughout the United States, with few exceptions. Very good news, indeed!",30137
1259621162163855361,do i yell at friends for breaking social distancing knowing it will probably just alienate me from them or do i just shove that anger deep inside me forever and pretend they arent being horrifically selfish,29969
1257304527843110914,"rappers be like “i’m sippin lean you sippin water”
like ok...??? that’s fine bro",29844
1257431177302020097,"Doing REALLY well, medically, on solving the CoronaVirus situation (Plague!). It will happen!",29576
1264558926021959680,"Please don’t complain to us that a store you went to asked you to wear a mask.

Our coworkers have died from COVID-19. An unhinged desire to express “individual liberty” is not more important than our lives.

Wear the damn mask.",29381
1267065388321443844,new zealand were fast to act and had some of the strictest lockdown rules in the world. today they reopen and look almost back to normal. crazy what happens when you have a government that puts the welfare of its citizens before profit,29056
1266873073246093313,I made you a Government COVID Slogan generator https://t.co/qfCDRrLfzu,28950
1260986305602674688,"I give, and have given from the beginning, my entire yearly salary, $400,000 to $450,000, back to our government. Last check to HHS Covid relief. My great honor! https://t.co/Vv6Uyz9MkF",28789
1266888676354797570,Coronavirus: Monkeys 'escape with COVID-19 samples' after attacking lab assistant https://t.co/neUMb0nuhy,28749
1261737008466202624,This grandfather built his grandson a a rollercoaster in the backyard during the pandemic and it’s definitely the Twitter content I’m here for...https://t.co/9YidJLGREs,28598
1265668742220046339,"When I wrote these words, I didn’t know if anyone would read them. I certainly didn’t think this would happen.

I wrote them for my patients, my colleagues &amp; myself.

Please watch this. Please share this.

This has been our reality. We can’t go back here.

https://t.co/JzxcHJKFuP",28585
1266933018570219520,"A lot of interest in this story about Psycho Joe Scarborough. So a young marathon runner just happened to faint in his office, hit her head on his desk, &amp; die? I would think there is a lot more to this story than that? An affair? What about the so-called investigator? Read story! https://t.co/CjBXBXxoNS",28210
1261368451555360774,"Please, never joke about someone's weight, facial features, insecurities, grades, parents, appearance, scars and misery, please don't do that.",27854
1266925493384736769,Police fire tear gas into a peaceful protest of George Floyd’s murder but stood like the goddamn Queen’s Guard when white assholes w guns storm the state capitol protesting HAVING 2 WEAR A MASK IN A PANDEMIC. We live in 2 America’s &amp; if this doesn’t make it clear ur a dummy,27679
1266956676898287618,Quarantine DAY 4 https://t.co/iFQZZHkWrD,27620
1265445256465731586,"Remember this, every Governor who has sky high approval on their handling of the Coronavirus, and I am happy for them all, could in no way have gotten those numbers, or had that success, without me and the Federal Governments help. From Ventilators to Testing, we made it happen!",27190
1266557801549033472,"We're being taken for absolute mugs. Our parents, our kids, our carers, our health workers, every one of us. It's such a sad day.",27128
1266858731675017217,"If you watch and RT one thing this week make it this. 

The media in their role as protectors of Obama, his administration, and the DNC are acting like thes things didn’t happen or don’t matter so let’s make them cover it! https://t.co/XSOhDKS7pg",27122
1264893630612897792,Face ID be pissing me off bitch it’s me with a mask 😂😂,27038
1265757043819978754,Yall let this happen and i will march with them hispanics in Langley park https://t.co/kjnkKgWx7O,27029
1260967877747920896,Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!,26662
1262155040107704328,A name that’s not appearing NEARLY enough in the “news”- VINDMAN. Media covered his bogus Ukraine transcript constantly. Dems yelled “impeach!” NOW he admits to actually making up parts of it. Another hoax exposed. And yet again the media cover the fake scandal but not the TRUTH.,26516
1264257167831465986,Downtown LA remember small business ain’t got nothing to do with this. Don’t repeat history. They have families that depend on them. The video might be old but this type of shit is happening to small business which is not fair https://t.co/5MEPHYht9n,26440
1265053788626395140,This boy had his hands up when an NYPD ofcr pulled his mask down and pepper sprayed him. ⁦@NYPDShea⁩? Mayor ⁦@BilldeBlasio⁩? https://t.co/YtXDOoVckA,26399
1262020427582451717,this was a few months ago before Corona blew up but my gma is so dramatic she heard me coughing and grabbed me by the throat &amp; started praying like girl 😂😂😂  i’m crying https://t.co/DO5QLDsboh,26309
1258784149936226305,"Declassified documents reveal V.P. Biden ordered the unmasking of General Flynn’s private conversation.
Anyone think that Biden might have abused his power to go after a political opponent...",26167
1266958845672402945,"Me with a mask:

FaceID: Bro ?",25966
1260864057055346688,"A security guard at a Family Dollar store in Michigan asked a woman to put on a state-mandated mask before she could come in. She spit in his face, then came back later with her father and shot him in the head, killing him.",25902
1259446167831752710,The american healthcare system: https://t.co/968OZwX6eb,25824
1267124248826580992,Karl Anthony Towns lost his mother due to COVID-19. He’s outside demanding justice for the murder of George Floyd. Can’t even imagine man. https://t.co/fnrBzsSJiI,25792
1264737293249794048,I will be lowering the flags on all Federal Buildings and National Monuments to half-staff over the next three days in memory of the Americans we have lost to the CoronaVirus....,25660
1266335781775380480,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!",25210
1258537649368739840,"Big Congressional win in California for Mike Garcia, taking back a seat from the Democrats. This is the first time in many years that a California Dem seat has flipped back to a Republican. Also, Tom Tiffany beat his Democrat rival BIG in Wisconsin. Two great Congressional WINS!",24815
1263613225146482694,“Oh shit my mask.”,24791
1266898698824343552,only kdrama stans know what happen here ; https://t.co/hUJYZKDDyX,24747
1266942703369105409,"Covid-19 hasn’t gone away. Anyone in downtown who protested and would like to get tested, my mom is in charge of two testing sites. They test anyone (dont need medical insurance) and free of charge. You do need an appointment so pls lmk!!",24574
1264724313955078144,I have spent the last 24 hours just trying to process this all. Nothing anyone says can take back what has happened. But we can and must all make sure to take action. Too many black lives have been taken from us for far too long. https://t.co/2bOF1mxE04,24531
1264564261327720450,"BAEKHYUN 백현 Unwrapped Candy Cam 🍭 (w/ lyrics)

#백현 #BAEKHYUN #엑소 #EXO #weareoneEXO #Delight #Candy #BAEKHYUN_Candy #큥이_에리_기가막힌_케미스트리 https://t.co/s0hZaEsrSc",24255
1264930620519657479,I can’t date no rapper. Cause bitch who is you talking bout in these songs 😭😭😭😭😭,24197
1265650951676932097,This is why it’s important for physicians to become educated on Black health. Healthcare shouldn’t be looked at with a one-size-fits-all approach. https://t.co/zU0EKr2gty,24151
1259084927456260097,"A lot just popped off at the protest for George Floyd at the Barclays Center in Brooklyn. Pepper spray, batons, and several arrests. https://t.co/ZuciQA82fe",24109
1260177007490600960,“Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 https://t.co/MSTPu49EgA,24057
1258960661515624449,I can think of no better metaphor for this presidency than Donald Trump not wearing a face mask to a face mask factory while the song “Live and Let Die” blares in the background. https://t.co/mJzU1HW7HA,24054
1264592593947635720,"This is a bunch of malarkey and you know it, @senatemajldr. We left a 69-page playbook on how to fight pandemics.

You can read it here if you’d like: https://t.co/zvRGv6ubWt

And make sure to pass along your notes to President Trump. He could use them. https://t.co/CooyBemPSv",24049
1261437743277711360,"Uh oh, wouldn’t want the Commies in blue states to see us Floridians all out at bars having a good time with no face masks

Might destroy their narrative that everyone’s gonna die if we don’t live in a bubble forever! https://t.co/kyqK3oVcQf",24004
1264283818934046721,【5 Corona beer challenge with my sword】 https://t.co/Fumz5XJ3rw,23955
1261021708619788290,"If you read a news story about some European country where, after a fair election, the outgoing president used his last weeks in office to target incoming officials and sabotage the new administration, you’d be appalled 

It happened here, and half the country thinks it was fine",23939
1258628590926729217,Donald Trump is not responsible for the coronavirus. But he does bear full responsibility for failing to protect our nation from the worst public health and economic crisis in our lifetime.,23864
1256243856166850560,Breonna Taylor is my cousin. Louisville police broke into her home unannounced and killed her and boyfriend Kenny Walker was unjustly charged for this case. Neither one was a suspect and had anything remotely to do with this. Kenny charges have yet to be dropped. https://t.co/bbK4q14P2f,23589
1258989599411634182,"“The President has been targeted by Twitter.” @MariaBartiromo  What about all of the lies and fraudulent statements made by Adam Schiff, and so many others, on the Russian Witch Hunt Plus, Plus, Plus? What about China’s propaganda? WHO’s mistakes? No flags?  @foxandfriends",23504
1259299494149095430,okay but why is dispatch out during the coronavirus,23474
1266639215720194048,These rappers had more heat for Gayle King than the police.,23341
1266928343141752833,A few months ago my dude was looking for a tote bag to carry some things to the post office. I gave the biggest bag I had which happened to be bright pink and red. He saw the bag and immediately asked for another one. When I asked why he just insisted on a different color bag.,23291
1262066328606834691,"RESIGN: Today we learned that House Speaker @MikeTurzai has known that Republican Members have either tested positive, or been quarantined, and withheld this information from Democrats including those of us who serve on the committees with those members!",23277
1260651315593543680,quarantine got lebron looking like kimbo slice https://t.co/q9eJqdXbgl,23188
1260988046696120322,"If you doubt the power of the press, recognize that Gov. Ron DeSantis handled covid-19 in Florida in excellent fashion, while Gov. Andrew Cuomo handled it nearly as badly as humanly possible, yet DeSantis has dropped in polls and Cuomo is at the height of popularity.",23177
1265445480105992192,I’m still stuck on using tear gas in the middle of a pandemic that hits the respiratory system,23177
1258739295172677632,"Psycho Joe Scarborough is rattled, not only by his bad ratings but all of the things and facts that are coming out on the internet about opening a Cold Case. He knows what is happening!",23073
1257306327769964544,"Nobody : 
My mom : “YOU GOT YOUR MASK”",23058
1257367894108889088,"Me: I can’t                  also me:
breathe in this 
stupid mask!!!!!!! https://t.co/Hqa1cbAMRP",22962
1266423773202432001,"The men and women of the National Guard have been doing a great job fighting the CoronaVirus. This week, I will extend their Title 32 orders through mid-August, so they can continue to help States succeed in their response and recovery efforts.",22823
1266961343917113344,Politicking during a pandemic is TOTALLY UNACCEPTABLE and INHUMANE.,22704
1263600794290417670,"If you had any doubt about America’s priorities, here’s how the people killing us are equipped vs the people keeping us alive https://t.co/oCb7u74hBQ",22542
1260578860992737285,"Governors should let roads and highway construction begin before heavy traffic starts, which will be soon. Some Governors never stopped, which proved to be very smart. They built and fixed roads during long no traffic periods. Also, saved big dollars!",22526
1265686374688178176,ive never seen a better advertisement to ramp up mask wearing so keep it up https://t.co/Tefr7NzBuS,22454
1260554985881964546,"....These THUGS are dishonoring the memory of George Floyd, and I won’t let that happen. Just spoke to Governor Tim Walz and told him that the Military is with him all the way. Any difficulty and we will assume control but, when the looting starts, the shooting starts. Thank you!",22306
1262849369428066304,Staten Islanders with masks drive out non-mask wearing person in grocery store. #Coronavirus https://t.co/iPQwk7lD9y,22199
1266732840059727874,"A customer came to check out just now and told me to ""take it [my mask] off. Act like a real American."" and a part of my brain just inwardly snapped. What the FUCK kind of thing is this to say to someone deemed an essential worker. I've been here this whole time helping you.",21899
1266928607647223812,"#StayHomeWithSuperM Project

#4 ‘Truth Or Dare’ with SuperM 🤘

#SuperM #WeAreTheFuture #SuperMTheFuture #StayHome #StayHomeChallenge #SuperM_Truth_Or_Dare https://t.co/tEjaUUtdkr",21812
1266848452706578432,"When somebody thanks to Corona virus
 #โควิด19 https://t.co/Pyv3mxogt7",21803
1267108579011629057,"Trump has lied about this crisis. Denied it exists. Fired scientists and oversight officials. Recommended people drink bleach. Stolen PPE from governors he doesn't like.

We need leadership to meet this moment. What we have is gutless posturing, corruption, and disinformation.",21759
1261377430519836673,quarantine days https://t.co/g1yxqe2BKS,21751
1266798403821830144,"....happen again. Just like we can’t let large scale Mail-In Ballots take root in our Country. It would be a free for all on cheating, forgery and the theft of Ballots. Whoever cheated the most would win. Likewise, Social Media. Clean up your act, NOW!!!!",21687
1262038698956337153,How come every cop is outfitted like an Avenger but health care professionals are out there fighting COVID wearing barrels on suspenders,21599
1265349545954869249,"I’m hearing on good authority that #coronavirus is more rampant in the #WhiteHouse than the public is being told. A very high-ranking individual may have also been impacted! The administration is currently mum on the matter, seeking prayers instead. #COVID19",21542
