timestamp,caller,callee,duration
184,300,301,121
3920,512,299,670
5623,301,300,504
9252,401,457,-1
15466,512,0,5
15497,512,0,28
26400,19,47,619
31312,687,310,11
36265,300,301,74
37049,634,681,20
37663,466,183,2
37760,225,574,5
38151,584,582,0
38192,584,582,28
38277,466,183,3
38892,584,582,11
40020,466,42,55
40307,480,210,0
46698,267,269,0
46716,269,267,112
47697,678,470,18
48457,222,471,9
48684,222,471,2
48810,222,471,201
48972,152,405,110
49704,471,222,38
50727,289,578,5
50766,289,578,4
51682,289,578,1
53004,90,91,111
55017,269,267,67
55162,267,269,9
55423,669,283,83
56687,289,578,2
57599,42,466,45
58643,139,546,743
58753,139,546,743
60310,474,639,169
61083,289,578,2
61919,19,47,74
62972,341,89,22
63038,341,89,23
64118,278,31,8
64495,218,382,3
65089,514,278,2
65142,278,514,13
65147,172,640,659
65271,696,306,-1
65469,19,595,286
65769,382,218,104
65812,12,13,-1
65878,12,13,0
66881,256,845,55
68315,76,31,7
69368,72,73,143
69668,561,631,515
69727,12,13,-1
69794,12,13,0
70585,297,374,3
71000,289,578,0
71648,650,136,142
72171,12,13,-1
72238,12,13,0
72993,24,82,199
74623,121,288,2290
75319,289,752,18
76891,640,172,7
86180,81,374,36
88134,622,39,-1
112152,8,419,-1
112174,419,8,0
112197,8,419,0
112219,419,8,48
112247,622,39,34
112333,8,592,68
112406,39,622,3
112524,622,39,61
113127,668,252,-1
113261,252,668,28
117460,121,288,26
119224,651,623,0
119425,651,623,5
120175,651,623,5
120336,651,623,4
120489,623,651,105
122297,651,623,31
122429,49,171,101
123832,185,210,20
123841,622,39,99
124174,185,210,142
124255,720,342,-1
124287,342,720,52
124365,342,720,0
124412,90,91,604
125449,678,470,21
126529,714,243,-1
126835,714,243,-1
127501,491,208,2
127617,91,90,4
128286,208,491,2
128314,91,90,4
128912,467,207,0
128968,467,560,15
129270,491,208,3
129439,208,491,264
129685,243,714,57
129719,688,405,-1
130012,185,210,60
130470,90,91,81
131066,185,210,4
131076,185,210,2
131169,210,185,26
132569,744,133,44
133493,171,49,111
134196,424,785,0
136430,623,651,358
136618,128,208,-1
137011,49,357,358
138678,92,676,0
138700,92,676,0
139769,623,651,108
140489,623,651,365
140554,221,52,5
140651,771,547,27
140671,221,52,-1
141119,688,405,6
142767,225,337,-1
143341,49,357,307
143816,578,289,124
144260,208,0,19
144481,49,357,154
144798,59,438,103
144873,59,438,103
145039,337,225,475
145220,289,578,112
145295,152,405,0
145525,39,622,101
146227,96,190,2
146777,677,652,0
146786,677,652,3
146838,89,341,24
146934,27,371,2
147024,301,300,23
147053,652,677,53
147288,342,401,109
147326,401,169,58
147385,449,47,203
147426,401,169,58
147785,449,47,41
147811,401,342,87
148269,167,423,-1
148551,167,423,2
148605,12,492,112
148941,49,48,69
149998,267,268,165
150303,652,677,-1
150362,4,424,16
151363,645,235,-1
151385,235,645,63
152084,567,386,33
153670,39,622,2
153780,622,39,-1
153818,622,39,-1
154130,39,622,231
154712,91,90,273
155233,441,580,48
155621,580,441,2
155782,21,20,0
155791,21,20,0
155963,21,20,0
156120,390,683,0
156121,21,20,18
159260,341,89,0
162192,424,266,171
175325,289,578,21
182142,512,36,3
200263,643,567,0
200731,289,752,3
201201,91,90,343
202334,111,421,27
206862,595,19,35
207005,172,640,3
207224,788,394,-1
207448,394,788,2
207544,788,394,71
210658,495,420,1029
210736,495,420,1029
212403,468,116,14
212511,683,390,-1
212563,683,363,63
213344,354,666,22
215174,390,683,0
215904,273,397,3
215962,194,294,19
215979,0,512,3
215981,273,585,1
216042,273,585,1
216106,678,470,3
