# user_a,user_b
0,512
0,263
0,525
0,285
0,543
0,806
0,817
0,824
0,341
0,600
0,104
0,107
0,108
0,371
0,632
0,687
0,208
0,744
0,491
256,524
256,532
256,818
256,838
256,373
256,421
256,706
256,486
512,790
512,538
512,809
512,560
512,820
512,580
512,839
512,631
512,690
512,700
512,728
768,838
1,537
1,43
1,345
1,390
1,412
1,420
257,514
257,534
257,545
257,816
257,565
257,574
257,578
257,331
257,346
257,359
257,621
257,659
257,444
257,707
257,721
513,519
513,544
513,590
513,653
513,663
2,817
2,354
2,140
2,666
2,686
2,720
2,502
258,775
258,532
258,792
258,302
258,561
258,590
514,534
514,578
514,659
514,679
514,721
770,824
3,521
3,23
3,49
3,817
3,90
3,357
3,358
3,104
3,415
3,677
3,171
3,182
3,217
3,733
3,226
3,485
3,749
3,239
259,294
259,568
259,590
259,357
259,359
259,371
259,429
259,692
259,745
771,784
771,786
771,797
4,266
4,524
4,15
4,785
4,52
4,564
4,58
4,832
4,838
4,344
4,100
4,615
4,373
4,381
4,388
4,139
4,144
4,661
4,670
4,424
4,177
4,186
4,706
4,466
4,221
4,743
4,744
4,492
4,503
4,509
260,792
260,805
260,806
260,831
260,324
260,844
260,589
260,600
260,611
260,356
260,652
260,459
260,722
260,499
516,624
5,256
5,257
5,269
5,525
5,19
5,802
5,553
5,42
5,52
5,54
5,577
5,73
5,393
5,402
5,403
5,404
5,412
5,432
5,689
5,444
5,466
5,729
5,733
5,222
5,482
5,486
261,556
261,301
261,578
261,846
261,396
261,718
261,485
261,499
517,835
517,649
6,27
6,569
6,324
6,838
6,342
6,599
6,616
6,112
6,645
6,137
6,406
6,423
6,424
6,176
6,462
6,477
6,487
6,749
262,263
262,780
262,286
262,804
262,294
262,303
262,820
262,567
262,824
262,324
262,837
262,844
262,598
262,343
262,628
262,651
262,657
262,668
262,425
262,472
262,729
262,733
518,545
7,524
7,535
7,791
7,614
7,205
7,229
263,512
263,283
263,797
263,286
263,288
263,297
263,299
263,300
263,817
263,820
263,824
263,578
263,324
263,580
263,338
263,340
263,342
263,598
263,352
263,611
263,356
263,372
263,374
263,639
263,384
263,401
263,657
263,405
263,664
263,412
263,413
263,678
263,426
263,685
263,431
263,441
263,448
263,706
263,464
263,720
263,470
263,471
263,472
263,729
263,733
263,485
263,752
519,541
519,798
519,809
519,653
519,663
519,761
775,792
775,794
775,795
775,832
8,304
8,592
8,601
8,163
8,419
8,184
264,630
520,782
520,804
520,837
520,617
520,714
520,736
520,758
9,646
9,652
265,281
265,540
265,308
265,310
265,617
265,660
265,687
265,478
521,770
521,529
521,530
521,536
521,817
521,820
521,824
521,828
521,831
521,578
521,836
521,583
521,590
521,657
521,664
521,688
521,709
521,722
521,733
521,761
10,524
10,317
10,580
10,836
10,373
10,677
10,166
10,226
266,785
266,552
266,300
266,838
266,845
266,344
266,350
266,353
266,647
266,670
266,424
266,735
266,507
522,545
522,574
522,621
11,13
11,43
11,829
11,848
11,389
11,183
11,723
11,236
11,496
267,521
267,268
267,269
267,801
267,316
267,611
267,402
267,403
267,666
267,689
267,695
267,444
267,702
267,706
267,452
267,466
267,723
267,475
267,733
267,482
267,486
523,529
523,539
523,798
523,800
12,268
12,13
12,25
12,824
12,313
12,315
12,358
12,376
12,641
12,137
12,143
12,401
12,454
12,217
12,487
12,743
12,492
12,752
12,755
12,244
12,766
268,521
268,524
268,269
268,781
268,280
268,301
268,557
268,562
268,310
268,576
268,838
268,850
268,611
268,358
268,373
268,641
268,401
268,403
268,411
268,673
268,425
268,702
268,706
268,472
268,734
268,482
268,485
268,503
524,826
524,832
524,838
524,850
524,670
524,672
524,677
524,706
524,744
13,258
13,262
13,263
13,521
13,267
13,268
13,269
13,15
13,527
13,272
13,532
13,792
13,29
13,543
13,801
13,300
13,48
13,561
13,817
13,52
13,308
13,820
13,54
13,314
13,828
13,578
13,324
13,838
13,583
13,75
13,588
13,845
13,81
13,593
13,342
13,345
13,96
13,611
13,100
13,357
13,109
13,115
13,393
13,139
13,652
13,398
13,146
13,402
13,658
13,664
13,412
13,176
13,432
13,186
13,699
13,444
13,192
13,706
13,458
13,466
13,723
13,472
13,729
13,219
13,475
13,733
13,482
13,485
13,486
13,490
13,236
13,492
13,239
13,499
13,503
13,254
269,521
269,269
269,543
269,801
269,402
269,403
269,689
269,444
269,466
269,733
269,482
269,486
525,780
525,529
525,802
525,549
525,809
525,824
525,829
525,845
525,598
781,850
270,524
270,694
270,446
270,479
526,539
15,266
15,524
15,781
15,270
15,272
15,785
15,532
15,789
15,29
15,30
15,546
15,552
15,300
15,561
15,308
15,564
15,56
15,568
15,58
15,832
15,838
15,583
15,75
15,588
15,589
15,344
15,348
15,96
15,100
15,109
15,368
15,373
15,381
15,382
15,388
15,139
15,408
15,411
15,670
15,416
15,672
15,424
15,177
15,186
15,192
15,706
15,195
15,205
15,473
15,218
15,221
15,743
15,744
15,234
15,503
15,249
15,506
15,507
15,509
15,766
527,527
527,699
527,723
16,34
16,292
16,558
16,572
16,325
16,652
16,657
272,778
272,532
272,312
272,315
272,583
272,330
272,589
272,383
272,644
272,415
272,688
272,473
272,485
272,754
272,756
272,758
272,503
528,772
528,777
528,796
528,812
528,827
528,737
528,743
528,763
784,786
784,797
784,800
784,814
784,845
17,268
17,807
17,52
17,64
17,385
17,161
17,164
17,678
17,451
17,463
17,214
273,512
273,789
273,567
273,834
273,585
273,628
273,640
273,394
273,408
273,456
273,713
273,755
529,824
529,829
18,276
18,306
18,570
18,572
18,108
18,476
18,486
18,488
18,254
274,772
274,521
274,777
274,528
274,796
274,812
274,827
274,440
274,469
274,478
274,479
274,737
274,492
274,505
274,763
274,510
530,539
786,797
786,845
19,47
19,588
19,846
19,80
19,595
19,185
19,449
19,477
19,486
275,288
275,817
275,840
275,614
275,401
275,470
531,548
531,595
531,664
531,677
276,524
276,541
276,306
276,826
276,838
276,373
276,402
276,406
276,466
532,774
532,780
532,792
532,798
532,561
532,583
532,589
532,590
532,706
532,761
277,524
277,819
277,840
277,598
277,623
277,661
277,413
277,683
277,701
277,711
277,763
533,804
533,810
533,835
533,608
533,620
533,628
533,657
533,712
22,262
22,815
22,50
22,833
22,837
22,844
22,343
22,363
22,651
22,668
22,683
22,223
22,252
534,797
534,578
534,612
534,653
534,721
534,747
23,51
23,59
23,90
23,179
23,180
23,733
23,485
279,540
279,293
279,813
279,581
279,598
279,617
279,368
279,391
279,693
279,762
535,838
535,614
535,646
280,521
280,532
280,537
280,283
280,798
280,809
280,556
280,817
280,307
280,571
280,578
280,834
280,836
280,838
280,333
280,846
280,336
280,345
280,351
280,611
280,371
280,373
280,641
280,644
280,647
280,396
280,401
280,404
280,695
280,706
280,472
280,485
536,711
25,41
25,564
25,376
25,645
25,395
25,454
25,235
25,755
25,244
25,758
25,766
281,545
281,813
281,816
281,687
281,693
281,469
537,798
537,809
537,644
537,695
26,266
26,377
26,238
282,816
282,574
282,582
282,342
282,621
282,398
282,692
282,439
282,707
282,455
282,505
282,506
538,786
538,796
538,646
538,664
538,728
538,736
27,768
27,518
27,287
27,550
27,818
27,308
27,569
27,330
27,86
27,342
27,616
27,112
27,371
27,642
27,154
27,410
27,443
27,196
27,203
27,487
283,297
283,352
283,374
283,641
283,646
283,426
283,441
283,461
283,464
539,560
539,628
28,798
28,317
28,590
28,336
28,349
28,351
28,423
28,695
28,700
28,472
28,219
28,485
28,761
28,508
284,777
284,524
284,845
284,350
284,449
284,454
284,457
284,735
540,797
540,546
540,813
540,814
540,575
540,842
540,671
540,687
540,767
29,258
29,270
29,272
29,532
29,789
29,792
29,546
29,300
29,563
29,308
29,583
29,329
29,588
29,589
29,334
29,88
29,96
29,100
29,109
29,378
29,139
29,398
29,659
29,192
29,473
29,734
29,503
29,254
285,800
285,300
285,342
285,371
285,632
285,685
285,448
285,720
285,491
541,798
541,590
541,619
541,644
541,695
541,700
541,741
541,761
797,842
30,268
30,785
30,552
30,566
30,311
30,67
30,69
30,326
30,838
30,75
30,850
30,344
30,373
30,132
30,144
30,165
30,424
30,186
30,447
30,706
30,195
30,221
30,507
286,575
286,358
286,639
286,651
286,401
286,664
286,685
542,635
542,706
31,514
31,533
31,306
31,76
31,399
