country_name,year,e_regionpol,v2x_regime,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2smgovdom_osp,v2smgovfilprc_osp,v2smgovsmcenprc_osp,v2smonper_osp,v2smarrest_osp
Mexico,2019,2,2.0,0.71,0.486,0.414,0.469,0.422,2.118,3.829,3.76,3.59,2.873
Suriname,2019,10,2.0,0.736,0.55,0.409,0.598,0.527,2.888,3.476,3.552,2.618,1.953
Sweden,2019,5,3.0,0.874,0.829,0.618,0.791,0.776,3.779,3.903,3.955,3.465,2.789
Switzerland,2019,5,3.0,0.873,0.827,0.776,0.831,0.803,3.792,3.885,3.926,3.304,2.795
Ghana,2019,4,3.0,0.718,0.608,0.338,0.619,0.529,3.58,3.446,3.713,3.288,2.301
South Africa,2019,4,2.0,0.678,0.575,0.434,0.586,0.455,2.87,3.064,3.931,2.626,2.628
Japan,2019,6,3.0,0.82,0.736,0.52,0.722,0.744,3.148,3.772,3.887,3.487,2.835
Myanmar,2019,7,1.0,0.406,0.246,0.274,0.332,0.233,3.279,2.67,3.076,2.545,1.256
Russia,2019,1,1.0,0.246,0.099,0.162,0.153,0.214,0.49,1.851,2.567,1.813,1.174
Albania,2019,1,1.0,0.481,0.431,0.284,0.265,0.352,2.347,2.908,3.713,2.782,2.414
Egypt,2019,3,1.0,0.19,0.126,0.117,0.09,0.118,0.828,1.527,2.672,1.363,0.618
Yemen,2019,3,0.0,0.123,0.042,0.053,0.028,0.036,0.594,1.139,1.985,0.434,0.298
Colombia,2019,2,2.0,0.667,0.503,0.455,0.467,0.368,1.005,2.511,3.729,2.083,1.79
Poland,2019,1,2.0,0.692,0.5,0.481,0.431,0.603,2.613,3.891,3.589,3.62,2.467
Brazil,2019,2,2.0,0.674,0.508,0.439,0.425,0.319,0.986,2.153,3.62,2.406,1.772
United States,2019,5,3.0,0.798,0.7,0.566,0.568,0.578,2.384,3.767,3.577,3.81,2.729
Portugal,2019,5,3.0,0.87,0.817,0.602,0.806,0.772,3.656,3.766,3.86,3.74,2.919
El Salvador,2019,2,2.0,0.631,0.437,0.376,0.428,0.278,3.151,3.688,3.689,2.782,2.811
Bangladesh,2019,8,1.0,0.279,0.1,0.175,0.154,0.104,1.572,2.201,2.172,1.21,0.811
Bolivia,2019,2,1.0,0.537,0.306,0.401,0.372,0.373,1.054,3.329,3.68,1.783,2.142
Haiti,2019,2,1.0,0.449,0.239,0.254,0.201,0.141,1.728,3.885,3.936,3.029,2.17
Honduras,2019,2,1.0,0.36,0.195,0.24,0.26,0.156,2.088,3.444,3.785,2.105,2.632
Mali,2019,4,1.0,0.467,0.309,0.267,0.386,0.349,3.437,3.021,3.695,2.851,1.463
Pakistan,2019,8,1.0,0.351,0.211,0.172,0.307,0.108,1.826,1.946,2.676,2.759,1.606
Peru,2019,2,2.0,0.784,0.674,0.549,0.571,0.488,3.338,3.766,3.814,3.09,2.758
Senegal,2019,4,2.0,0.708,0.561,0.371,0.613,0.517,3.387,3.159,3.753,3.2,0.719
