country_name	total_score	v2x_regime	v2x_polyarchy	v2x_freexp_altinf	v2mecenefm	v2meharjrn	v2meslfcen	v2mebias	v2merange	v2mecrit	v2cldiscm	v2cldiscw	v2clacfree	v2x_frassoc_thick	v2psparban	v2psbars	v2cseeorgs	v2csreprss	v2x_suffr	v2elsuffrage	v2xel_frefair	v2elembaut	v2elembcap	v2x_elecoff	v2lgbicam	v2lgello	v2lginello	v2expathhs	v2exdfcbhs	v2exdfdmhs	v2exhoshog
Afghanistan		1.0	0.353	0.696	0.327	-0.392	0.42	1.337	1.497	1.532	0.606	0.587	0.609	0.663	0.397	1.887	0.993	1.461	1.0	100.0	0.164	-0.569	-0.56	1.0	2.0	100.0	0.0	7.0	-0.588	1.005	1.0
Albania		1.0	0.486	0.639	-0.039	0.526	0.476	1.086	0.438	-0.604	1.594	1.623	1.178	0.813	1.521	1.728	1.773	1.683	1.0	100.0	0.491	0.701	0.353	1.0	1.0	100.0	0.0	6.0	-1.225	-1.068	0.0
Algeria		1.0	0.287	0.521	-1.063	0.476	-0.122	-0.096	0.81	0.469	0.771	0.462	0.08	0.37	0.16	0.239	-0.574	-0.701	1.0	100.0	0.234	-0.931	-1.228	1.0	2.0	100.0	0.0	7.0	1.495	1.421	0.0
Angola	64.0	1.0	0.365	0.653	1.026	0.552	0.997	0.855	-0.317	1.255	0.324	0.204	0.058	0.614	0.923	1.123	-0.301	-0.245	1.0	100.0	0.255	-0.939	-0.772	1.0	1.0	100.0	0.0	6.0	1.629	1.005	1.0
Argentina	72.0	2.0	0.771	0.843	1.274	0.948	1.32	1.419	1.525	0.646	2.217	1.99	2.332	0.901	2.207	2.733	2.421	1.245	1.0	100.0	0.873	1.614	1.624	1.0	2.0	100.0	0.0	7.0	2.257	1.879	1.0
Armenia	76.0	2.0	0.799	0.872	1.555	1.078	0.695	1.625	2.322	1.674	2.185	2.011	1.834	0.875	2.149	2.008	2.46	2.336	1.0	100.0	0.922	2.178	2.075	1.0	1.0	100.0	0.0	6.0	-2.277	-2.184	0.0
Australia	77.0	3.0	0.836	0.91	2.631	1.667	2.469	1.251	1.651	1.52	2.404	2.795	1.349	0.874	1.888	2.075	1.954	1.551	1.0	100.0	0.955	3.693	2.606	1.0	2.0	100.0	0.0	1.0	-1.005	-1.377	0.0
Austria		3.0	0.848	0.935	1.758	1.801	1.612	2.057	1.515	2.703	2.691	3.008	2.599	0.883	0.71	2.629	1.854	2.782	1.0	100.0	0.939	1.95	2.12	1.0	2.0	100.0	0.0	7.0	-0.509	-0.67	0.0
Azerbaijan	39.0	1.0	0.193	0.166	-1.769	-0.542	-0.534	-1.405	-1.711	-1.491	-0.629	-0.662	-1.354	0.282	1.729	-0.348	-1.467	-0.855	1.0	100.0	0.075	-2.283	1.563	1.0	1.0	100.0	0.0	7.0	1.813	1.434	0.0
Bahrain	29.0	0.0	0.117	0.091	-2.354	-1.217	-2.688	-1.095	-2.096	-1.377	-1.298	-0.843	-1.886	0.113	-0.755	-1.089	-1.605	-2.293	1.0	100.0	0.215	-2.16	0.931	0.0	2.0	100.0	0.0	4.0	0.975	1.221	0.0
Bangladesh	44.0	1.0	0.25	0.366	0.062	-1.588	-1.279	0.607	0.026	0.659	-0.811	-0.786	-0.899	0.423	0.464	0.338	0.677	-0.565	1.0	100.0	0.149	-1.194	-0.863	0.93	1.0	86.0	14.0	6.0	-2.351	-2.647	0.0
Barbados		3.0	0.787	0.909	2.082	2.226	0.816	1.734	2.243	1.284	2.454	2.504	2.149	0.884	1.892	2.02	1.954	2.057	1.0	100.0	0.85	1.76	0.627	1.0	2.0	100.0	0.0	1.0	-0.993	-1.421	0.0
Belarus	35.0	1.0	0.263	0.307	-1.879	-0.323	-0.448	-1.156	-0.788	-0.381	0.758	0.711	-0.578	0.415	1.207	-0.481	-0.617	0.024	1.0	100.0	0.24	-2.47	2.311	1.0	2.0	100.0	0.0	7.0	1.909	2.002	0.0
Belgium		3.0	0.896	0.974	3.499	2.205	3.287	2.255	2.36	2.634	2.446	2.458	3.162	0.892	1.329	2.624	1.532	2.84	1.0	100.0	0.973	2.746	2.779	1.0	2.0	100.0	0.0	4.0	-1.984	-1.901	0.0
Benin		1.0	0.473	0.651	0.856	0.559	-0.024	0.667	0.948	-0.323	0.752	0.95	1.363	0.66	0.974	0.505	1.446	1.672	1.0	100.0	0.556	1.144	1.325	1.0	1.0	100.0	0.0	7.0	1.076	1.942	1.0
Bhutan		2.0	0.595	0.711	1.17	1.192	-0.31	1.322	0.773	1.361	0.612	0.552	0.335	0.66	0.346	1.008	1.01	1.591	1.0	100.0	0.856	1.742	1.62	1.0	2.0	100.0	0.0	4.0	0.271	-0.708	0.0
Bolivia		1.0	0.484	0.607	-0.053	0.093	0.016	0.746	0.901	0.282	0.699	0.327	1.064	0.774	2.404	1.309	0.945	0.45	1.0	100.0	0.601	-0.217	0.211	0.0	2.0	100.0	0.0	8.0	1.72	1.853	1.0
Bosnia and Herzegovina		2.0	0.531	0.69	0.605	0.768	-0.352	0.748	1.403	1.27	1.116	0.41	0.62	0.835	2.15	1.354	2.791	1.332	1.0	100.0	0.544	1.268	0.815	1.0	2.0	100.0	0.0	7.0	-0.934	-2.437	0.0
Botswana		3.0	0.658	0.794	1.764	1.061	0.663	0.896	2.026	0.32	1.554	1.603	1.328	0.875	2.254	2.336	1.677	1.675	1.0	100.0	0.76	0.452	1.492	0.914	1.0	90.4	2.0	6.0	2.006	2.092	1.0
Brazil	64.0	2.0	0.689	0.726	0.432	0.558	0.949	0.973	1.462	1.316	0.905	1.12	0.256	0.891	2.649	2.235	1.61	1.135	1.0	100.0	0.833	1.761	2.648	1.0	2.0	100.0	0.0	7.0	2.051	1.505	1.0
Bulgaria		2.0	0.612	0.716	0.797	0.536	-0.054	1.11	0.868	0.505	1.556	1.452	1.411	0.815	1.255	2.191	1.612	1.704	1.0	100.0	0.738	1.375	1.522	1.0	1.0	100.0	0.0	7.0	-2.068	-3.024	0.0
Burkina Faso		2.0	0.667	0.835	1.451	1.099	1.479	1.093	2.052	1.368	0.757	0.808	2.057	0.86	1.966	2.73	1.981	1.737	1.0	100.0	0.706	0.873	0.559	1.0	1.0	100.0	0.0	7.0	1.207	0.731	0.0
Burma/Myanmar		1.0	0.434	0.721	1.1	0.589	0.52	0.716	1.801	0.926	1.014	0.766	0.26	0.666	0.899	1.281	0.43	1.139	1.0	100.0	0.507	-0.146	-0.401	0.75	2.0	75.0	0.0	6.0	0.672	0.015	0.0
Burundi		1.0	0.159	0.099	-2.233	-2.632	-1.941	-1.003	-1.278	-0.987	-1.834	-1.487	-1.413	0.15	-0.236	-0.254	-2.345	-1.975	1.0	100.0	0.028	-2.001	0.895	0.958	2.0	83.0	17.0	7.0	0.54	0.672	1.0
Cambodia	43.0	1.0	0.195	0.173	-1.577	-1.295	-1.596	-0.957	-1.456	-1.021	-0.727	-0.677	-0.922	0.215	-0.364	-0.407	-0.95	-1.1	1.0	100.0	0.144	-0.985	-0.794	1.0	2.0	100.0	0.0	4.0	-2.271	-2.406	0.0
Cameroon		1.0	0.283	0.576	-0.169	-0.622	0.601	0.554	0.959	0.398	0.554	0.648	0.389	0.509	1.986	0.886	0.169	-1.023	1.0	100.0	0.078	-2.076	-1.405	1.0	2.0	100.0	0.0	7.0	1.748	1.924	0.0
Canada	87.0	3.0	0.858	0.945	2.974	2.783	1.886	1.723	0.921	2.684	2.523	2.584	2.697	0.883	2.267	1.418	2.725	1.911	1.0	100.0	0.947	2.371	2.955	1.0	2.0	100.0	0.0	1.0	-0.662	-1.635	0.0
Cape Verde		2.0	0.789	0.866	1.651	2.075	0.813	1.253	1.235	1.482	2.581	1.709	1.957	0.901	1.88	2.042	1.867	3.055	1.0	100.0	0.884	1.997	0.655	1.0	1.0	100.0	0.0	7.0	-0.459	-1.128	0.0
Central African Republic		1.0	0.385	0.747	0.62	0.186	0.054	1.798	1.403	2.137	0.148	0.234	1.37	0.575	1.294	0.454	0.47	-0.549	1.0	100.0	0.286	0.386	-0.958	1.0	1.0	100.0	0.0	7.0	0.773	1.61	0.0
Chad		1.0	0.274	0.551	-1.821	-0.019	0.27	0.736	0.991	0.915	-0.2	0.011	1.116	0.427	0.108	0.241	-0.388	-0.762	1.0	100.0	0.105	-0.813	-0.346	1.0	1.0	100.0	0.0	7.0	1.925	1.88	1.0
Chile		2.0	0.824	0.863	1.723	1.935	1.28	1.502	1.315	0.929	1.925	1.866	2.159	0.887	2.347	1.833	2.145	1.424	1.0	100.0	0.968	3.225	2.436	1.0	2.0	100.0	0.0	7.0	2.25	1.87	1.0
China	10.0	0.0	0.076	0.057	-2.103	-1.826	-2.619	-1.751	-2.073	-2.062	-1.565	-1.365	-2.714	0.044	-3.08	-1.739	-2.031	-1.343	1.0	100.0	0.0	-1.865	1.16	0.0	1.0	0.0	100.0	2.0	1.011	0.761	0.0
Colombia	67.0	2.0	0.649	0.715	1.376	-0.063	1.22	0.94	1.148	1.522	-0.124	-0.221	0.83	0.88	1.924	2.425	2.323	1.431	1.0	100.0	0.781	2.074	1.717	0.977	2.0	96.5	0.0	7.0	2.117	2.11	1.0
Comoros		1.0	0.322	0.643	0.275	0.925	0.238	1.041	0.394	1.121	-0.84	-0.749	1.708	0.659	0.884	1.167	0.537	-0.243	1.0	100.0	0.116	-0.902	-0.729	0.932	1.0	73.0	27.0	7.0	2.272	1.451	1.0
Costa Rica		3.0	0.899	0.951	2.206	1.806	2.525	2.312	1.562	2.693	2.668	2.467	3.016	0.935	2.418	2.825	2.757	2.5	1.0	100.0	0.959	3.26	2.1	1.0	1.0	100.0	0.0	7.0	2.404	1.972	1.0
Croatia		2.0	0.742	0.797	0.95	0.85	1.092	1.359	1.084	1.865	1.483	1.013	1.009	0.858	2.276	2.294	1.402	1.444	1.0	100.0	0.907	2.204	2.419	1.0	1.0	100.0	0.0	7.0	-1.991	-2.422	0.0
Cuba	22.0	0.0	0.18	0.104	-1.946	-0.707	-1.402	-1.652	-1.824	-1.842	-1.617	-1.304	-1.777	0.025	-3.522	-2.811	-2.225	-1.189	1.0	100.0	0.3	-1.733	0.971	1.0	1.0	100.0	0.0	2.0	1.124	0.761	0.0
Cyprus		3.0	0.841	0.929	1.865	2.268	0.639	3.058	2.447	2.21	1.957	2.064	2.004	0.901	2.026	2.49	2.204	2.258	1.0	100.0	0.915	2.647	1.18	1.0	1.0	100.0	0.0	7.0	1.884	1.116	1.0
Czechia		3.0	0.819	0.908	1.363	2.053	1.538	1.367	1.832	1.425	3.17	3.156	2.253	0.887	0.939	2.469	1.903	3.324	1.0	100.0	0.907	1.785	2.565	1.0	2.0	100.0	0.0	7.0	-1.12	-1.475	0.0
Democratic Republic of the Congo		1.0	0.35	0.676	-0.406	-0.181	0.683	1.118	2.042	1.01	0.162	0.42	1.114	0.61	1.315	1.023	0.864	-0.355	1.0	100.0	0.198	-0.049	-0.769	1.0	2.0	100.0	0.0	7.0	-0.411	-0.061	0.0
